PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image
cs_universitatea_craiova_robert_lapadatescu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,39,Robert Lapadatescu,Defensive Midfield,"Nov 8, 2006 (18)",Romania,-,cs_universitatea_craiova_robert_lapadatescu.png
cs_universitatea_craiova_mihai_capatina,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,23,Mihai Capatina,Central Midfield,"Dec 16, 1995 (29)",Romania,€550k,cs_universitatea_craiova_mihai_capatina.png
cs_universitatea_craiova_alexandru_cicaldau,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,20,Alexandru Cicaldau,Attacking Midfield,"Jul 8, 1997 (27)",Romania,€2.50m,cs_universitatea_craiova_alexandru_cicaldau.png
cs_universitatea_craiova_lyes_houri,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,14,Lyes Houri,Attacking Midfield,"Jan 19, 1996 (29)",France,€800k,cs_universitatea_craiova_lyes_houri.png
cs_universitatea_craiova_alexandru_mitrita,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,28,Alexandru Mitrita,Left Winger,"Feb 8, 1995 (30)",Romania,€4.00m,cs_universitatea_craiova_alexandru_mitrita.png
cs_universitatea_craiova_stefan_baiaram,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,10,Stefan Baiaram,Left Winger,"Dec 31, 2002 (22)",Romania,€1.50m,cs_universitatea_craiova_stefan_baiaram.png
cs_universitatea_craiova_luis_paradela,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,7,Luis Paradela,Left Winger,"Jan 21, 1997 (28)",Cuba,€700k,cs_universitatea_craiova_luis_paradela.png
cs_universitatea_craiova_carlos_mora,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,17,Carlos Mora,Right Winger,"Mar 18, 2001 (23)",Costa Rica,€600k,cs_universitatea_craiova_carlos_mora.png
cs_universitatea_craiova_stefan_bana,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,31,Stefan Bana,Right Winger,"Oct 29, 2004 (20)",Romania,€450k,cs_universitatea_craiova_stefan_bana.png
cs_universitatea_craiova_alisson_safira,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,9,Alisson Safira,Centre-Forward,"Mar 17, 1995 (29)",Brazil,€600k,cs_universitatea_craiova_alisson_safira.jpg
cs_universitatea_craiova_jovo_lukic,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,24,Jovo Lukic,Centre-Forward,"Nov 28, 1998 (26)",Bosnia-Herzegovina,€500k,cs_universitatea_craiova_jovo_lukic.jpg
cs_universitatea_craiova_david_barbu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,27,David Barbu,Centre-Forward,"Jun 26, 2006 (18)",Romania,€150k,cs_universitatea_craiova_david_barbu.png
cfr_cluj_mihai_popa,cfr_cluj,CFR Cluj,cfr_cluj.png,21,Mihai Popa,Goalkeeper,"Oct 12, 2000 (24)",Romania,€800k,cfr_cluj_mihai_popa.png
cfr_cluj_otto_hindrich,cfr_cluj,CFR Cluj,cfr_cluj.png,89,Otto Hindrich,Goalkeeper,"Aug 5, 2002 (22)",Romania,€450k,cfr_cluj_otto_hindrich.png
cfr_cluj_alexandru_borbei,cfr_cluj,CFR Cluj,cfr_cluj.png,30,Alexandru Borbei,Goalkeeper,"Jun 27, 2003 (21)",Romania,€150k,cfr_cluj_alexandru_borbei.jpg
cfr_cluj_rares_gal,cfr_cluj,CFR Cluj,cfr_cluj.png,1,Rares Gal,Goalkeeper,"Jan 25, 2001 (24)",Romania,€50k,cfr_cluj_rares_gal.png
cfr_cluj_mihai_pinzariu,cfr_cluj,CFR Cluj,cfr_cluj.png,12,Mihai Pinzariu,Goalkeeper,"Sep 14, 2004 (20)",Romania,€25k,cfr_cluj_mihai_pinzariu.png
cfr_cluj_mihai_racasan,cfr_cluj,CFR Cluj,cfr_cluj.png,83,Mihai Racasan,Goalkeeper,"Jul 1, 2007 (17)",Romania,-,cfr_cluj_mihai_racasan.png
cfr_cluj_matei_ilie,cfr_cluj,CFR Cluj,cfr_cluj.png,27,Matei Ilie,Centre-Back,"Dec 11, 2002 (22)",Romania,€900k,cfr_cluj_matei_ilie.png
cfr_cluj_anton_kresic,cfr_cluj,CFR Cluj,cfr_cluj.png,44,Anton Kresic,Centre-Back,"Jan 29, 1996 (29)",Croatia,€800k,cfr_cluj_anton_kresic.png
cfr_cluj_leo_bolgado,cfr_cluj,CFR Cluj,cfr_cluj.png,4,Leo Bolgado,Centre-Back,"Aug 20, 1998 (26)",Brazil,€750k,cfr_cluj_leo_bolgado.png
cfr_cluj_daniel_graovac,cfr_cluj,CFR Cluj,cfr_cluj.png,5,Daniel Graovac,Centre-Back,"Aug 8, 1993 (31)",Bosnia-Herzegovina,€400k,cfr_cluj_daniel_graovac.png
cfr_cluj_sheriff_sinyan,cfr_cluj,CFR Cluj,cfr_cluj.png,6,Sheriff Sinyan,Centre-Back,"Jul 19, 1996 (28)",The Gambia,€300k,cfr_cluj_sheriff_sinyan.png
cfr_cluj_costel_avram,cfr_cluj,CFR Cluj,cfr_cluj.png,78,Costel Avram,Centre-Back,"Jun 11, 2002 (22)",Romania,€25k,cfr_cluj_costel_avram.png
cfr_cluj_dominik_soptirean,cfr_cluj,CFR Cluj,cfr_cluj.png,-,Dominik Soptirean,Centre-Back,"Apr 28, 2005 (19)",Romania,-,cfr_cluj_dominik_soptirean.jpg
cfr_cluj_simao_rocha,cfr_cluj,CFR Cluj,cfr_cluj.png,13,Simao Rocha,Left-Back,"Dec 13, 2000 (24)",Portugal,€700k,cfr_cluj_simao_rocha.png
cfr_cluj_aly_abeid,cfr_cluj,CFR Cluj,cfr_cluj.png,3,Aly Abeid,Left-Back,"Dec 11, 1997 (27)",Mauritania,€500k,cfr_cluj_aly_abeid.png
