Team,Number,Name,Position,Age,Nationality,Market Value
Sepsi OSK Sf. Gheorghe,17,Darius Oroian,Right-Back,"Aug 1, 2003 (21)",Romania,€250k
Sepsi OSK Sf. Gheorghe,27,Davide Popsa,Right-Back,"Jul 4, 2002 (22)",Romania,€150k
Sepsi OSK Sf. Gheorghe,-,Nicolae Paun,Defensive Midfield,"Jan 19, 1999 (26)",Romania,€850k
Sepsi OSK Sf. Gheorghe,5,Sota Mino,Central Midfield,"Oct 20, 1994 (30)",Japan,€800k
Sepsi OSK Sf. Gheorghe,18,David Siger,Central Midfield,"Nov 30, 1990 (34)",Hungary,€150k
Sepsi OSK Sf. Gheorghe,59,Sherif Kallaku,Attacking Midfield,"Mar 1, 1998 (26)",Albania,€800k
Sepsi OSK Sf. Gheorghe,10,Cosmin Matei,Attacking Midfield,"Sep 30, 1991 (33)",Romania,€400k
Sepsi OSK Sf. Gheorghe,7,Omar El Sawy,Attacking Midfield,"Mar 16, 2004 (20)",Romania,€250k
Sepsi OSK Sf. Gheorghe,19,Giovani Ghimfus,Attacking Midfield,"Jul 12, 2005 (19)",Romania,€200k
Sepsi OSK Sf. Gheorghe,20,Marian Draghiceanu,Attacking Midfield,"Jul 7, 1999 (25)",Romania,€200k
Sepsi OSK Sf. Gheorghe,77,Mihajlo Neskovic,Left Winger,"Feb 9, 2000 (24)",Serbia,€650k
Sepsi OSK Sf. Gheorghe,26,Sebastian Mailat,Left Winger,"Dec 12, 1997 (27)",Romania,€450k
Sepsi OSK Sf. Gheorghe,6,Raul Cimpean,Right Winger,"Oct 9, 2005 (19)",Romania,€50k
Sepsi OSK Sf. Gheorghe,22,Gabriel Debeljuh,Centre-Forward,"Sep 28, 1996 (28)",Croatia,€850k
Sepsi OSK Sf. Gheorghe,9,Marius Coman,Centre-Forward,"Jul 31, 1996 (28)",Romania,€550k
Sepsi OSK Sf. Gheorghe,11,Dimitri Oberlin,Centre-Forward,"Sep 27, 1997 (27)",Switzerland,€450k
Sepsi OSK Sf. Gheorghe,12,Dorian Babunski,Centre-Forward,"Aug 29, 1996 (28)",North Macedonia,€200k
FC Dinamo 1948,1,Adnan Golubovic,Goalkeeper,"Jul 22, 1995 (29)",Slovenia,€700k
FC Dinamo 1948,73,Alexandru Rosca,Goalkeeper,"Nov 12, 2003 (21)",Romania,€450k
FC Dinamo 1948,16,Alexandru Stoian,Goalkeeper,"Mar 12, 2005 (19)",Romania,€25k
FC Dinamo 1948,4,Kennedy Boateng,Centre-Back,"Nov 29, 1996 (28)",Togo,€900k
FC Dinamo 1948,28,Josue Homawoo,Centre-Back,"Nov 12, 1997 (27)",Togo,€800k
FC Dinamo 1948,6,Cristian Licsandru,Centre-Back,"Mar 27, 2003 (21)",Romania,€250k
FC Dinamo 1948,23,Razvan Patriche,Centre-Back,"Apr 29, 1986 (38)",Romania,€50k
FC Dinamo 1948,3,Raul Oprut,Left-Back,"Jan 4, 1998 (27)",Romania,€900k
FC Dinamo 1948,80,Antonio Luna,Left-Back,"Mar 17, 1991 (33)",Spain,€150k
FC Dinamo 1948,27,Maxime Sivis,Right-Back,"Apr 1, 1998 (26)",France,€700k
FC Dinamo 1948,98,Cristian Costin,Right-Back,"Jun 17, 1998 (26)",Romania,€550k
FC Dinamo 1948,8,Eddy Gnahore,Defensive Midfield,"Nov 14, 1993 (31)",France,€750k
FC Dinamo 1948,90,Andrei Marginean,Defensive Midfield,"Jul 3, 2001 (23)",Romania,€250k
FC Dinamo 1948,10,Catalin Cirjan,Central Midfield,"Dec 1, 2002 (22)",Romania,€1.20m
