PlayerID,Scor,Liga
sc_otelul_galati_nikola_stevanovic,2,superliga
sc_otelul_galati_jonathan_cisse,2,superliga
sc_otelul_galati_martin_angha,2,superliga
sc_otelul_galati_julian_bonilla,2,superliga
sc_otelul_galati_miguel_silva,2,superliga
sc_otelul_galati_alexandru_mituletu,1,superliga
sc_otelul_galati_david_maftei,2,superliga
sc_otelul_galati_milen_zhelev,2,superliga
sc_otelul_galati_joao_lameira,2,superliga
sc_otelul_galati_diego_zivulic,2,superliga
sc_otelul_galati_ionut_neagu,2,superliga
sc_otelul_galati_samuel_teles,2,superliga
sc_otelul_galati_nelut_rosu,2,superliga
sc_otelul_galati_samy_bourard,2,superliga
sc_otelul_galati_erik_bicfalvi,3,superliga
sc_otelul_galati_razvan_tanasa,2,superliga
sc_otelul_galati_frederic_maciel,2,superliga
sc_otelul_galati_andrei_bani,4,superliga
sc_otelul_galati_maxim_cojocaru,2,superliga
sc_otelul_galati_jovan_markovic,2,superliga
sc_otelul_galati_stiven_plaza,2,superliga
fc_botosani_paul_iacob,2,superliga
fc_botosani_rijad_sadiku,2,superliga
fc_botosani_andrei_miron,2,superliga
fc_botosani_patricio_matricardi,2,superliga
fc_botosani_daniel_celea,2,superliga
fc_botosani_alin_seroni,2,superliga
fc_botosani_michael_pavlovic,2,superliga
fc_botosani_alexandru_tiganasu,2,superliga
fc_botosani_adams_friday,2,superliga
fc_botosani_romario_benzar,2,superliga
fc_botosani_alexandru_albu,2,superliga
fc_botosani_aldair_ferreira,2,superliga
fc_botosani_enriko_papa,2,superliga
fc_botosani_robert_filip,2,superliga
fc_botosani_francisco_junior,2,superliga
fc_botosani_hervin_ongenda,2,superliga
fc_botosani_stefan_panoiu,2,superliga
fc_botosani_stefan_bodisteanu,2,superliga
fc_botosani_zoran_mitrov,2,superliga
fc_botosani_alexandru_cimpanu,2,superliga
fc_botosani_jaly_mouaddib,2,superliga
fc_botosani_george_gligor,2,superliga
fc_botosani_enzo_lopez,2,superliga
fc_botosani_adi_chica-rosa,2,superliga
acsm_politehnica_iasi_jesus_fernandez,3,superliga
acsm_politehnica_iasi_nicolas_samayoa,3,superliga
acsm_politehnica_iasi_matija_boben,2,superliga
acsm_politehnica_iasi_claudio_silva,3,superliga
acsm_politehnica_iasi_stefan_stefanovici,3,superliga
acsm_politehnica_iasi_rares_ispas,3,superliga
acsm_politehnica_iasi_catalin_cret,2,superliga
acsm_politehnica_iasi_mihai_adascalitei,2,superliga
acsm_politehnica_iasi_samuel_oum_gouet,3,superliga
acsm_politehnica_iasi_dudu_nardini,2,superliga
acsm_politehnica_iasi_mihai_bordeianu,3,superliga
acsm_politehnica_iasi_julian_marchioni,3,superliga
acsm_politehnica_iasi_mursal_banse,1,superliga
acsm_politehnica_iasi_alin_roman,3,superliga
acsm_politehnica_iasi_joao_amaral,2,superliga
acsm_politehnica_iasi_romario_moise,2,superliga
acsm_politehnica_iasi_tailson,3,superliga
acsm_politehnica_iasi_adama_diakhaby,3,superliga
acsm_politehnica_iasi_antonio_bordusanu,2,superliga
acsm_politehnica_iasi_sekou_camara,3,superliga
acsm_politehnica_iasi_xhuliano_skuka,2,superliga
fc_buzau_alexandru_greab,2,superliga
fc_buzau_dorian_railean,2,superliga
fc_buzau_david_lazar,3,superliga
fc_buzau_dragos_horeboiu,2,superliga
fc_buzau_grigore_turda,2,superliga
fc_buzau_alin_dobrosavlevici,3,superliga
